scenario,level,system,expression_group_layer,expression_group,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S3,quadgrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,10,22,0,0,0.232558,0.236559,0.053476,0.053922
S3,quadgrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,20,40,1,2,0.465116,0.430108,0.106952,0.098039
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,surfacing,5,11,0,0,0.116279,0.118280,0.026738,0.026961
S3,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,8,22,0,0,0.186047,0.236559,0.042781,0.053922
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,warning,2,4,0,0,0.046512,0.043011,0.010695,0.009804
S3,trigrams,AC15,cross_cutting,autonomy_sovereignty,1,2,0,0,0.021277,0.021053,0.003401,0.003026
S3,trigrams,AC15,cross_cutting,conditions,1,2,0,0,0.021277,0.021053,0.003401,0.003026
S3,trigrams,AC15,cross_cutting,hedging,3,6,0,0,0.063830,0.063158,0.010204,0.009077
S3,trigrams,AC15,constraint_aligned,imagination_and_possibility,2,4,0,0,0.042553,0.042105,0.006803,0.006051
S3,trigrams,AC15,constraint_aligned,practical_considerations_and_execution,24,49,0,0,0.510638,0.515789,0.081633,0.074130
S3,trigrams,AC15,cross_cutting,surfacing,2,4,0,0,0.042553,0.042105,0.006803,0.006051
S3,trigrams,AC15,constraint_aligned,temporal_projection,10,20,0,0,0.212766,0.210526,0.034014,0.030257
S3,trigrams,AC15,constraint_aligned,truth,6,12,0,0,0.127660,0.126316,0.020408,0.018154
S3,trigrams,AC15P,cross_cutting,autonomy_sovereignty,1,2,0,0,0.012821,0.011976,0.003401,0.003026
S3,trigrams,AC15P,cross_cutting,conditions,3,7,0,0,0.038462,0.041916,0.010204,0.010590
S3,trigrams,AC15P,cross_cutting,hedging,6,13,0,0,0.076923,0.077844,0.020408,0.019667
S3,trigrams,AC15P,constraint_aligned,imagination_and_possibility,8,16,0,0,0.102564,0.095808,0.027211,0.024206
S3,trigrams,AC15P,constraint_aligned,practical_considerations_and_execution,36,76,0,0,0.461538,0.455090,0.122449,0.114977
S3,trigrams,AC15P,cross_cutting,smoothing,3,6,0,0,0.038462,0.035928,0.010204,0.009077
S3,trigrams,AC15P,cross_cutting,surfacing,6,12,0,0,0.076923,0.071856,0.020408,0.018154
S3,trigrams,AC15P,constraint_aligned,temporal_projection,15,35,0,0,0.192308,0.209581,0.051020,0.052950
S3,trigrams,AC15P,constraint_aligned,truth,4,8,0,0,0.051282,0.047904,0.013605,0.012103
S3,trigrams,AC15P,cross_cutting,warning,4,10,0,0,0.051282,0.059880,0.013605,0.015129
S3,trigrams,CONTROL,cross_cutting,autonomy_sovereignty,4,13,0,0,0.108108,0.154762,0.013605,0.019667
S3,trigrams,CONTROL,cross_cutting,conditions,4,8,0,0,0.108108,0.095238,0.013605,0.012103
S3,trigrams,CONTROL,constraint_aligned,imagination_and_possibility,1,2,0,0,0.027027,0.023810,0.003401,0.003026
S3,trigrams,CONTROL,constraint_aligned,practical_considerations_and_execution,17,38,1,2,0.459459,0.452381,0.057823,0.057489
S3,trigrams,CONTROL,cross_cutting,surfacing,7,16,0,0,0.189189,0.190476,0.023810,0.024206
S3,trigrams,CONTROL,constraint_aligned,temporal_projection,5,10,1,2,0.135135,0.119048,0.017007,0.015129
S3,trigrams,CONTROL,constraint_aligned,truth,2,4,0,0,0.054054,0.047619,0.006803,0.006051
S3,trigrams,CONTROL,cross_cutting,warning,6,12,0,0,0.162162,0.142857,0.020408,0.018154
S3,trigrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,8,34,0,0,0.135593,0.234483,0.027211,0.051437
S3,trigrams,HYBRID_3_5,cross_cutting,hedging,2,4,0,0,0.033898,0.027586,0.006803,0.006051
S3,trigrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,1,2,0,0,0.016949,0.013793,0.003401,0.003026
S3,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,31,65,0,0,0.525424,0.448276,0.105442,0.098336
S3,trigrams,HYBRID_3_5,cross_cutting,surfacing,6,13,0,0,0.101695,0.089655,0.020408,0.019667
S3,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,9,20,0,0,0.152542,0.137931,0.030612,0.030257
S3,trigrams,HYBRID_3_5,constraint_aligned,truth,7,14,0,0,0.118644,0.096552,0.023810,0.021180
S3,trigrams,HYBRID_3_5,cross_cutting,warning,4,11,0,0,0.067797,0.075862,0.013605,0.016641
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,1,2,0,0,0.013699,0.011765,0.003401,0.003026
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,conditions,2,4,0,0,0.027397,0.023529,0.006803,0.006051
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,hedging,1,2,0,0,0.013699,0.011765,0.003401,0.003026
S3,trigrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,16,43,0,0,0.219178,0.252941,0.054422,0.065053
