scenario,level,expression_group_layer,expression_group,row_count,sum_count,system_count,systems,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S7,quadgrams,cross_cutting,autonomy_sovereignty,4,8,3,AC15;CONTROL;HYBRID_3_5,0.022727,0.020942
S7,quadgrams,cross_cutting,conditions,21,45,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.119318,0.117801
S7,quadgrams,cross_cutting,hedging,26,72,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.147727,0.188482
S7,quadgrams,constraint_aligned,imagination_and_possibility,8,16,3,AC15;AC15P;HYBRID_SEMANTIC,0.045455,0.041885
S7,quadgrams,constraint_aligned,practical_considerations_and_execution,48,99,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.272727,0.259162
S7,quadgrams,cross_cutting,smoothing,8,17,1,AC15,0.045455,0.044503
S7,quadgrams,cross_cutting,surfacing,21,43,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.119318,0.112565
S7,quadgrams,constraint_aligned,temporal_projection,36,74,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.204545,0.193717
S7,quadgrams,constraint_aligned,truth,10,20,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.056818,0.052356
S7,quadgrams,cross_cutting,warning,15,30,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.085227,0.078534
S7,trigrams,cross_cutting,autonomy_sovereignty,6,12,3,AC15;CONTROL;HYBRID_3_5,0.026549,0.024896
S7,trigrams,cross_cutting,conditions,14,30,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.061947,0.062241
S7,trigrams,cross_cutting,hedging,31,73,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.137168,0.151452
S7,trigrams,constraint_aligned,imagination_and_possibility,10,21,3,AC15;AC15P;HYBRID_SEMANTIC,0.044248,0.043568
S7,trigrams,constraint_aligned,practical_considerations_and_execution,75,157,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.331858,0.325726
S7,trigrams,cross_cutting,smoothing,8,19,1,AC15,0.035398,0.039419
S7,trigrams,cross_cutting,surfacing,23,48,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.101770,0.099585
S7,trigrams,constraint_aligned,temporal_projection,36,76,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.159292,0.157676
S7,trigrams,constraint_aligned,truth,18,36,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.079646,0.074689
S7,trigrams,cross_cutting,warning,22,44,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.097345,0.091286
