level,system,expression_group,expression_subgroup,row_count,sum_count,scenario_count,scenarios,share_of_system_level_group_subgroup_rows,share_of_system_level_group_subgroup_sum
trigrams,AC15,truth,uncertainty_marking,1,2,1,S3,0.030303,0.027778
trigrams,AC15,truth,verification,29,64,4,S1;S3;S5;S7,0.878788,0.888889
trigrams,AC15P,imagination_and_possibility,exploration_within_bounds,6,15,2,S1;S5,0.352941,0.405405
trigrams,AC15P,imagination_and_possibility,path_toward_feasibility,6,12,2,S3;S7,0.352941,0.324324
trigrams,AC15P,imagination_and_possibility,tension_as_fuel,5,10,2,S3;S7,0.294118,0.270270
trigrams,AC15P,practical_considerations_and_execution,action_and_execution,50,110,4,S1;S3;S5;S7,0.442478,0.452675
trigrams,AC15P,practical_considerations_and_execution,constraints_and_tradeoffs,28,60,4,S1;S3;S5;S7,0.247788,0.246914
trigrams,AC15P,practical_considerations_and_execution,friction_and_blockers,2,4,1,S1,0.017699,0.016461
trigrams,AC15P,practical_considerations_and_execution,resources_timing_conditions,33,69,3,S1;S3;S7,0.292035,0.283951
trigrams,AC15P,temporal_projection,change_and_rate,14,29,3,S1;S3;S7,0.245614,0.214815
trigrams,AC15P,temporal_projection,decay_and_currency,14,35,3,S1;S5;S7,0.245614,0.259259
trigrams,AC15P,temporal_projection,robustness_and_resilience,9,26,3,S1;S3;S5,0.157895,0.192593
trigrams,AC15P,temporal_projection,time_horizons,20,45,4,S1;S3;S5;S7,0.350877,0.333333
trigrams,AC15P,truth,fact_vs_interpretation,1,2,1,S5,0.029412,0.025316
trigrams,AC15P,truth,plain_statement,3,6,1,S7,0.088235,0.075949
trigrams,AC15P,truth,uncertainty_marking,1,2,1,S1,0.029412,0.025316
trigrams,AC15P,truth,verification,29,69,3,S1;S3;S5,0.852941,0.873418
trigrams,CONTROL,imagination_and_possibility,tension_as_fuel,1,2,1,S3,1.000000,1.000000
trigrams,CONTROL,practical_considerations_and_execution,action_and_execution,22,47,4,S1;S3;S5;S7,0.448980,0.394958
trigrams,CONTROL,practical_considerations_and_execution,constraints_and_tradeoffs,18,50,3,S1;S3;S5,0.367347,0.420168
