scenario,level,system,group,layer,group_rows,group_sum_count,system_total_rows,system_total_sum_count,group_row_share,group_sum_share
S3,quadgrams,AC15P,autonomy_sovereignty,B,1,2,171,365,0.005847953216374269,0.005479452054794521
S3,quadgrams,HYBRID_3_5,truth,A,4,8,133,296,0.03007518796992481,0.02702702702702703
S3,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,22,47,133,296,0.16541353383458646,0.15878378378378377
S3,quadgrams,HYBRID_3_5,temporal_projection,A,1,3,133,296,0.007518796992481203,0.010135135135135136
S3,quadgrams,HYBRID_3_5,imagination_and_possibility,A,2,4,133,296,0.015037593984962405,0.013513513513513514
S3,quadgrams,HYBRID_3_5,surfacing,B,1,2,133,296,0.007518796992481203,0.006756756756756757
S3,quadgrams,HYBRID_3_5,smoothing,B,0,0,133,296,0.0,0.0
S3,quadgrams,HYBRID_3_5,hedging,B,2,4,133,296,0.015037593984962405,0.013513513513513514
S3,quadgrams,HYBRID_3_5,warning,B,4,11,133,296,0.03007518796992481,0.037162162162162164
S3,quadgrams,HYBRID_3_5,conditions,B,0,0,133,296,0.0,0.0
S3,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,8,27,133,296,0.06015037593984962,0.09121621621621621
S3,quadgrams,HYBRID_SEMANTIC,truth,A,0,0,159,336,0.0,0.0
S3,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,17,34,159,336,0.1069182389937107,0.10119047619047619
S3,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,8,22,159,336,0.050314465408805034,0.06547619047619048
S3,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,10,22,159,336,0.06289308176100629,0.06547619047619048
S3,quadgrams,HYBRID_SEMANTIC,surfacing,B,5,11,159,336,0.031446540880503145,0.03273809523809524
S3,quadgrams,HYBRID_SEMANTIC,smoothing,B,0,0,159,336,0.0,0.0
S3,quadgrams,HYBRID_SEMANTIC,hedging,B,1,2,159,336,0.006289308176100629,0.005952380952380952
S3,quadgrams,HYBRID_SEMANTIC,warning,B,2,4,159,336,0.012578616352201259,0.011904761904761904
S3,quadgrams,HYBRID_SEMANTIC,conditions,B,2,4,159,336,0.012578616352201259,0.011904761904761904
S3,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,2,4,159,336,0.012578616352201259,0.011904761904761904
S5,quadgrams,CONTROL,truth,A,6,12,77,165,0.07792207792207792,0.07272727272727272
S5,quadgrams,CONTROL,practical_considerations_and_execution,A,6,22,77,165,0.07792207792207792,0.13333333333333333
S5,quadgrams,CONTROL,temporal_projection,A,3,6,77,165,0.03896103896103896,0.03636363636363636
S5,quadgrams,CONTROL,imagination_and_possibility,A,0,0,77,165,0.0,0.0
S5,quadgrams,CONTROL,surfacing,B,3,6,77,165,0.03896103896103896,0.03636363636363636
S5,quadgrams,CONTROL,smoothing,B,0,0,77,165,0.0,0.0
S5,quadgrams,CONTROL,hedging,B,4,8,77,165,0.05194805194805195,0.048484848484848485
S5,quadgrams,CONTROL,warning,B,0,0,77,165,0.0,0.0
S5,quadgrams,CONTROL,conditions,B,0,0,77,165,0.0,0.0
S5,quadgrams,CONTROL,autonomy_sovereignty,B,1,2,77,165,0.012987012987012988,0.012121212121212121
S5,quadgrams,AC15,truth,A,12,25,93,201,0.12903225806451613,0.12437810945273632
S5,quadgrams,AC15,practical_considerations_and_execution,A,14,29,93,201,0.15053763440860216,0.14427860696517414
S5,quadgrams,AC15,temporal_projection,A,10,26,93,201,0.10752688172043011,0.12935323383084577
S5,quadgrams,AC15,imagination_and_possibility,A,0,0,93,201,0.0,0.0
S5,quadgrams,AC15,surfacing,B,7,14,93,201,0.07526881720430108,0.06965174129353234
S5,quadgrams,AC15,smoothing,B,0,0,93,201,0.0,0.0
S5,quadgrams,AC15,hedging,B,0,0,93,201,0.0,0.0
S5,quadgrams,AC15,warning,B,1,2,93,201,0.010752688172043012,0.009950248756218905
S5,quadgrams,AC15,conditions,B,1,2,93,201,0.010752688172043012,0.009950248756218905
S5,quadgrams,AC15,autonomy_sovereignty,B,0,0,93,201,0.0,0.0
S5,quadgrams,AC15P,truth,A,6,15,112,258,0.05357142857142857,0.05813953488372093
S5,quadgrams,AC15P,practical_considerations_and_execution,A,3,6,112,258,0.026785714285714284,0.023255813953488372
S5,quadgrams,AC15P,temporal_projection,A,15,37,112,258,0.13392857142857142,0.1434108527131783
S5,quadgrams,AC15P,imagination_and_possibility,A,5,12,112,258,0.044642857142857144,0.046511627906976744
S5,quadgrams,AC15P,surfacing,B,6,12,112,258,0.05357142857142857,0.046511627906976744
